Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
682;-0.21348642,0.33930174,2.4151833;-0.21666639,0.41038185,2.4130948;-0.23140576,0.76591796,2.4042158;-0.219243,0.9396516,2.3395104;-0.3898008,0.6637289,2.4189343;-0.44716004,0.4067987,2.4073908;-0.4572355,0.19221902,2.3119392;-0.4457969,0.11402608,2.2745883;-0.07546937,0.6595381,2.4434075;-0.013191099,0.38932875,2.4223404;0.018228818,0.1788676,2.3217747;0.02636269,0.121173,2.276882;-0.28121686,0.2689616,2.40541;-0.31590208,-0.12413923,2.3963113;-0.33649504,-0.42454523,2.4186256;-0.33321422,-0.47670597,2.3385808;-0.1397677,0.26707572,2.424125;-0.117361,-0.12294995,2.4342983;-0.10750241,-0.42845684,2.4555066;-0.09893291,-0.4797387,2.3752856;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
711;-0.21196403,0.33821368,2.4160106;-0.21522789,0.40942734,2.413585;-0.2301296,0.765371,2.403912;-0.21815275,0.93917763,2.3395379;-0.38773155,0.66126186,2.4183333;-0.44687882,0.40638265,2.4075146;-0.4568019,0.19194248,2.3124633;-0.4452152,0.11415612,2.2751758;-0.07492897,0.6599302,2.4436822;-0.012045193,0.3897218,2.4228086;0.019204378,0.17992496,2.321321;0.02647079,0.1212532,2.27697;-0.2791988,0.2670998,2.4064004;-0.31513208,-0.12427916,2.3977013;-0.33618438,-0.42406538,2.4192386;-0.33270577,-0.47613537,2.3391697;-0.1385795,0.26673672,2.425173;-0.11673465,-0.122938395,2.435659;-0.10732303,-0.42823577,2.456085;-0.098574825,-0.4794075,2.3758397;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
748;-0.21148956,0.33802226,2.4163008;-0.2147652,0.40925243,2.413756;-0.22924528,0.7651514,2.403708;-0.21782714,0.9390013,2.339389;-0.38647568,0.66023725,2.4178739;-0.44671714,0.40617165,2.4075153;-0.4562412,0.19153033,2.3127832;-0.44457513,0.113782816,2.275722;-0.07471918,0.66001433,2.4437187;-0.011749528,0.3898134,2.4228985;0.019393688,0.18010354,2.3212655;0.026537256,0.12125414,2.2769866;-0.2785802,0.26673022,2.4067895;-0.31476304,-0.124483205,2.3985162;-0.3361006,-0.42398152,2.4194188;-0.33256495,-0.47601536,2.3393407;-0.13818023,0.26676345,2.425579;-0.1163334,-0.122985326,2.4364426;-0.10723032,-0.42818272,2.4562945;-0.09842758,-0.4793145,2.3760426;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
779;-0.21041818,0.33780438,2.417144;-0.2138145,0.40903744,2.4141922;-0.22731721,0.76459056,2.4029016;-0.21597731,0.938445,2.3383908;-0.384246,0.65879065,2.4171333;-0.44526258,0.40525076,2.4077978;-0.4547304,0.19037016,2.3136368;-0.44233736,0.11255747,2.2775328;-0.07333534,0.6603228,2.443579;-0.011070297,0.38991308,2.4230027;0.019896274,0.18033183,2.321083;0.026661964,0.12122343,2.276999;-0.27706394,0.26613015,2.4084554;-0.31297368,-0.12508404,2.4023297;-0.3358732,-0.42391276,2.4199677;-0.33233088,-0.47583994,2.339737;-0.13711098,0.26693115,2.4267669;-0.1144331,-0.122656964,2.4400783;-0.10700512,-0.42809612,2.4567797;-0.0982239,-0.4791365,2.3763921;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
812;-0.20797366,0.3376485,2.4193044;-0.21158278,0.40876293,2.4153378;-0.2217857,0.7626664,2.400032;-0.21058187,0.93622994,2.3342004;-0.38012466,0.6570127,2.4159114;-0.44246772,0.40379992,2.408334;-0.4483249,0.18712601,2.3172932;-0.43776178,0.11054629,2.2816186;-0.068915814,0.6601918,2.4426472;-0.008166499,0.39009482,2.4232776;0.02178499,0.1806781,2.3207474;0.027453192,0.12069834,2.2771375;-0.27415082,0.26566607,2.4122865;-0.31071562,-0.12592772,2.4077346;-0.33542052,-0.42388806,2.4212086;-0.3319376,-0.47569585,2.3406715;-0.13447286,0.26724637,2.4299777;-0.110606536,-0.12198053,2.447218;-0.106202915,-0.42811468,2.4583156;-0.09764711,-0.4789998,2.377509;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
847;-0.20406413,0.3376144,2.4227176;-0.20764942,0.40844,2.4173226;-0.21286416,0.7595618,2.3954842;-0.20297842,0.93328196,2.328931;-0.3740437,0.6545983,2.4142365;-0.43593848,0.40082723,2.4095547;-0.4395518,0.18235576,2.3224695;-0.43095323,0.10825653,2.2878735;-0.06050085,0.6594121,2.440034;-0.0037918426,0.39002725,2.4234054;0.024702242,0.18057725,2.3207717;0.029533794,0.1186065,2.2782726;-0.27007744,0.26529786,2.4180007;-0.30764967,-0.12618205,2.4145396;-0.33452272,-0.42389986,2.4237947;-0.33129412,-0.47559333,2.3428497;-0.13057172,0.2676911,2.4344609;-0.10497421,-0.12080251,2.4573016;-0.10447494,-0.4283644,2.4614768;-0.09651073,-0.4790162,2.3800008;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
879;-0.19866493,0.3374842,2.4269307;-0.20185961,0.40792608,2.4198613;-0.20204993,0.7561043,2.3895342;-0.19456077,0.9300936,2.3225482;-0.36632794,0.6519239,2.4122822;-0.4267457,0.3968517,2.4115438;-0.43065545,0.17707464,2.3282857;-0.4226311,0.106034644,2.2957747;-0.05067744,0.6579689,2.43598;0.0034087133,0.38818637,2.4232416;0.029856374,0.17835684,2.3213768;0.03321006,0.11303902,2.2824342;-0.26475003,0.26495442,2.4249148;-0.30448902,-0.12641755,2.4218488;-0.33313158,-0.42388436,2.4277089;-0.33036935,-0.4755482,2.3464258;-0.12563078,0.26799583,2.4394333;-0.10000075,-0.119740084,2.4658782;-0.101866014,-0.42780706,2.465695;-0.09472095,-0.47843045,2.3836858;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
912;-0.1922395,0.33730674,2.4313803;-0.19453983,0.4073131,2.4227302;-0.19130072,0.7531736,2.3844678;-0.1838533,0.9255108,2.3142753;-0.35745016,0.65017164,2.410512;-0.4166662,0.39314964,2.4141529;-0.42136085,0.17213516,2.334737;-0.41183618,0.10371634,2.3054457;-0.03912297,0.6547905,2.430499;0.01138141,0.38509503,2.422565;0.035937205,0.17377731,2.323281;0.037437543,0.10296863,2.290535;-0.2591444,0.2650138,2.431408;-0.301224,-0.1258119,2.4287698;-0.3316851,-0.42401314,2.4318943;-0.32968038,-0.4756426,2.3503726;-0.11992313,0.267865,2.444439;-0.095177956,-0.11867921,2.4732978;-0.099343956,-0.42720914,2.4698937;-0.09328171,-0.47784618,2.3874843;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
947;-0.18541843,0.33664712,2.435419;-0.18658242,0.4063535,2.4253464;-0.1804846,0.75132453,2.3799329;-0.1717485,0.9219705,2.3069758;-0.34514415,0.64919615,2.4083896;-0.4058279,0.39016166,2.417284;-0.41190317,0.16798538,2.3414083;-0.4035984,0.102094166,2.312599;-0.028681591,0.6516914,2.4259026;0.021247467,0.378841,2.4212465;0.0430555,0.1638963,2.3275769;0.04045873,0.09325845,2.2993815;-0.25357774,0.26493302,2.4368565;-0.29814118,-0.12526084,2.4346092;-0.3303176,-0.424143,2.4359734;-0.3290352,-0.47578287,2.3544812;-0.11416737,0.26715842,2.4488308;-0.09137871,-0.11792014,2.4789057;-0.09683766,-0.42646915,2.4738543;-0.09168872,-0.47715482,2.3913817;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
980;-0.17905213,0.33579344,2.4386265;-0.17926621,0.40528056,2.427373;-0.17221586,0.74996614,2.3767703;-0.16319075,0.919484,2.3022788;-0.33318684,0.64897215,2.40696;-0.39621058,0.38807675,2.420036;-0.4037708,0.164824,2.3472562;-0.39527723,0.10099146,2.3198884;-0.020459646,0.6491685,2.422224;0.028583104,0.37379283,2.4204826;0.049920022,0.15226847,2.3371286;0.043815423,0.082360506,2.31169;-0.2481918,0.26468775,2.4412394;-0.29549706,-0.12510578,2.4391584;-0.32925895,-0.4242821,2.4392648;-0.32869965,-0.4759221,2.357882;-0.10896411,0.26643878,2.4521883;-0.08860179,-0.11744153,2.4827738;-0.0944502,-0.4256575,2.4772964;-0.09013923,-0.47643065,2.3949165;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
