Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
630;-0.11829691,0.33857226,2.443101;-0.12079768,0.4069782,2.4880514;-0.11902574,0.7744635,2.4724991;-0.09966424,0.92731404,2.4487844;-0.28088114,0.6616637,2.4763837;-0.37055358,0.40715662,2.4634411;-0.40719447,0.1969985,2.3630562;-0.41153723,0.13104793,2.3207371;0.027890919,0.64453584,2.4918342;0.062737875,0.37531808,2.4569237;0.075406216,0.1547391,2.3783648;0.06498903,0.078501545,2.3590274;-0.18765374,0.2725186,2.4265187;-0.24044375,-0.12870075,2.4078581;-0.25688636,-0.42307872,2.4513195;-0.25550935,-0.4815283,2.3746617;-0.048706308,0.26481107,2.4458516;-0.056672554,-0.14163677,2.4466128;-0.07421653,-0.43111506,2.4891608;-0.07316455,-0.4896456,2.4125597;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
660;-0.118113115,0.338289,2.4433038;-0.12070307,0.4067595,2.488222;-0.11883437,0.7744235,2.4726145;-0.09900649,0.9270191,2.4484868;-0.28046572,0.66173637,2.4762585;-0.37012684,0.40746385,2.4631171;-0.40556782,0.19776589,2.3613634;-0.4089889,0.13271835,2.3201706;0.028192874,0.6446699,2.492329;0.06288666,0.37562603,2.4587224;0.075789444,0.15521371,2.3799536;0.06511612,0.078602344,2.3599536;-0.18743707,0.27217555,2.4265773;-0.24037251,-0.12880623,2.4077446;-0.2563852,-0.42286,2.450567;-0.25472242,-0.4811497,2.3738313;-0.04854558,0.26452956,2.4462101;-0.05655849,-0.14162283,2.446831;-0.07421325,-0.43111446,2.4892697;-0.073001124,-0.4896225,2.412692;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
697;-0.11807057,0.33824134,2.4433396;-0.120684706,0.40672523,2.4882486;-0.11879431,0.77441925,2.472629;-0.09883144,0.92696476,2.4484081;-0.28034613,0.6617617,2.4761977;-0.36997962,0.4075351,2.462993;-0.40437314,0.19818553,2.3601503;-0.40628913,0.13342127,2.3180645;0.02827462,0.6447143,2.4924564;0.06295164,0.37571973,2.4593542;0.07592347,0.15533835,2.38061;0.065123856,0.07852584,2.3603678;-0.18738385,0.27211618,2.4265828;-0.24023174,-0.12903294,2.4075396;-0.25600863,-0.42279896,2.4500837;-0.25413105,-0.48103744,2.373262;-0.048494775,0.26447955,2.4462943;-0.056524552,-0.1416099,2.4468682;-0.07421198,-0.43111467,2.4892867;-0.07296343,-0.48961926,2.4127126;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
731;-0.117953956,0.33819667,2.4433928;-0.1206556,0.40670082,2.4882689;-0.11866138,0.77442,2.472575;-0.09845613,0.92687225,2.4481454;-0.27970076,0.6617099,2.4756217;-0.3684218,0.40819088,2.4616764;-0.4005569,0.20029624,2.356316;-0.39741883,0.13496086,2.3094354;0.028715832,0.64497024,2.492941;0.063609615,0.3777993,2.4628496;0.076696925,0.15785971,2.3847234;0.06549421,0.07818855,2.3622322;-0.18724173,0.27203956,2.4265764;-0.2394076,-0.13026248,2.4054525;-0.25421605,-0.42254284,2.447375;-0.25119182,-0.48076662,2.370204;-0.04828255,0.2644486,2.446543;-0.056448936,-0.14156473,2.4469228;-0.07420959,-0.43111485,2.4892988;-0.0728226,-0.48960987,2.412715;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
759;-0.117246106,0.33827242,2.443633;-0.12048113,0.406744,2.4882855;-0.118207805,0.77437127,2.472283;-0.0977148,0.9266916,2.4475086;-0.27636543,0.6612114,2.4721184;-0.36530173,0.40922028,2.458145;-0.39311767,0.20358948,2.3482168;-0.38740987,0.13735527,2.2982774;0.030173872,0.6456136,2.4943273;0.06516333,0.37978122,2.468177;0.08031738,0.16055004,2.3940246;0.06877847,0.07749994,2.3680077;-0.18643312,0.27198493,2.4265668;-0.23682077,-0.13124052,2.398332;-0.25006565,-0.42244416,2.4394498;-0.24388292,-0.48063335,2.3615463;-0.047034815,0.26475206,2.4477668;-0.056154124,-0.1414346,2.4470785;-0.07420571,-0.43111575,2.4893086;-0.07227125,-0.48958227,2.4127219;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
796;-0.115523145,0.33853427,2.4442356;-0.11984527,0.4069364,2.4882824;-0.11694161,0.77407235,2.4713476;-0.096317515,0.9263757,2.4462779;-0.27202553,0.6604974,2.4674187;-0.36098188,0.41108465,2.4520395;-0.3829604,0.20866798,2.3354597;-0.37640652,0.14165074,2.282367;0.03216264,0.64630485,2.4961066;0.0682744,0.38121334,2.4764836;0.08514688,0.16245925,2.4043765;0.07535414,0.076763384,2.375423;-0.18447517,0.27200463,2.4266913;-0.23281966,-0.13143337,2.3880959;-0.24517147,-0.42089948,2.41757;-0.24286212,-0.481225,2.3581007;-0.044526886,0.26537895,2.4501565;-0.055578813,-0.14156751,2.4474764;-0.074200176,-0.43111694,2.4893174;-0.07145675,-0.48951495,2.412727;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
827;-0.112706244,0.3392067,2.445259;-0.118446484,0.4074796,2.4882262;-0.114609696,0.77361554,2.4698036;-0.09466743,0.9259989,2.4447496;-0.26724273,0.65979683,2.4620893;-0.3557062,0.4148914,2.4442067;-0.37462166,0.21581756,2.3224673;-0.36813858,0.14746302,2.2642636;0.03459269,0.64715534,2.498125;0.07569744,0.38293093,2.4922464;0.09863338,0.16481975,2.4264574;0.10348249,0.08244174,2.3990972;-0.1815,0.272281,2.4269798;-0.22644182,-0.13369614,2.3707259;-0.24293014,-0.41849536,2.397671;-0.23543929,-0.47569495,2.3252442;-0.04107784,0.26655826,2.4534404;-0.05443268,-0.14171512,2.4482064;-0.07418097,-0.43112153,2.489332;-0.07033042,-0.489416,2.4127638;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
859;-0.11005143,0.33994552,2.4461622;-0.1168624,0.4081686,2.4879835;-0.111980006,0.77319086,2.468187;-0.092570186,0.92549855,2.442774;-0.26320145,0.6591091,2.4572434;-0.35153222,0.41857567,2.4369047;-0.37018186,0.22311457,2.3100595;-0.36599886,0.14976504,2.2430515;0.037557118,0.64796025,2.5001812;0.08328061,0.38354832,2.5045035;0.122549094,0.16724278,2.4451804;0.13866276,0.0885137,2.4191296;-0.17887272,0.27258828,2.4272027;-0.22089495,-0.13307229,2.354573;-0.2408283,-0.4158802,2.382458;-0.23025316,-0.47166675,2.3051043;-0.038258836,0.2675941,2.4560058;-0.0529895,-0.14187865,2.4491317;-0.07414154,-0.43113503,2.489358;-0.06902589,-0.4893195,2.4128516;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
896;-0.10785288,0.3405881,2.4468312;-0.11531997,0.40885806,2.487541;-0.10960328,0.77281076,2.4667268;-0.09024263,0.9247881,2.4402778;-0.26002353,0.6585222,2.45332;-0.34821403,0.4226387,2.4293253;-0.37073818,0.23156959,2.2975461;-0.36971402,0.15617332,2.2239861;0.040863544,0.64858043,2.502054;0.094169855,0.38714907,2.51475;0.14673686,0.17373246,2.4588463;0.17980948,0.09339863,2.434674;-0.17673838,0.2728585,2.4273384;-0.217106,-0.13163005,2.343208;-0.23923141,-0.41371536,2.370979;-0.22684872,-0.46870863,2.2915263;-0.036141172,0.2683785,2.4578075;-0.051296394,-0.14204118,2.4502268;-0.07406582,-0.43117303,2.4894128;-0.06768789,-0.48927408,2.4129899;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
929;-0.10601798,0.34110984,2.4472473;-0.11373001,0.40952817,2.4868329;-0.10701591,0.77247614,2.465255;-0.08770124,0.9240193,2.4376216;-0.2574764,0.6580509,2.450123;-0.34625575,0.42672017,2.422096;-0.37465623,0.2408772,2.2850866;-0.37774822,0.16590197,2.2069356;0.04390316,0.6489933,2.503455;0.10630609,0.391855,2.5222516;0.17949247,0.1847556,2.4681385;0.21400334,0.09892805,2.4445617;-0.17499149,0.27310452,2.4273345;-0.21445408,-0.12934409,2.3349037;-0.23744193,-0.41121402,2.3604465;-0.22365345,-0.4652675,2.2795424;-0.034540877,0.26890314,2.4589875;-0.049638864,-0.14217928,2.451274;-0.073976144,-0.4312179,2.4894795;-0.06646636,-0.48924464,2.413131;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
