Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
600;-0.07694868,0.26520273,2.143393;-0.07694987,0.3407796,2.137371;-0.07695584,0.718664,2.1244516;0.027576908,0.856389,2.0788765;-0.1989322,0.6032103,2.0706482;-0.29817566,0.42576346,2.032935;-0.1334735,0.33328524,1.998401;-0.058520958,0.34919146,2.032452;0.035797067,0.6313578,2.2596126;0.068114504,0.40312806,2.310425;0.22469087,0.4066234,2.1887982;0.276883,0.40778852,2.152944;-0.1297617,0.19143651,2.102666;-0.15983416,-0.17054725,2.076351;-0.18910074,-0.4340824,2.0849438;-0.16864443,-0.36961874,2.0724266;-0.02413354,0.20410289,2.1855707;0.029998742,-0.2009371,2.1307242;0.03499156,-0.46773338,2.1234303;0.07142841,-0.49786532,2.0811875;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
630;-0.07742423,0.2662752,2.1429214;-0.07752019,0.34191048,2.1368945;-0.078110814,0.720143,2.1239195;0.028118413,0.8578737,2.078997;-0.20026678,0.6038448,2.0709076;-0.30059102,0.4279819,2.035134;-0.13796243,0.3359037,1.9985167;-0.06248932,0.35178483,2.0320778;0.03942947,0.6339464,2.2584758;0.06744763,0.4130013,2.3104186;0.21914628,0.4119871,2.177079;0.23600638,0.42191556,2.1668587;-0.13082935,0.19180262,2.1022887;-0.16115633,-0.17066315,2.0768623;-0.18920995,-0.43504545,2.0865202;-0.1709471,-0.37140438,2.0767941;-0.023923457,0.20463003,2.1851404;0.021706656,-0.18950455,2.1348407;0.0037017139,-0.4540382,2.143343;-0.02223959,-0.4150713,2.154442;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
663;-0.07862369,0.26824072,2.1421056;-0.07882814,0.34376556,2.1360745;-0.08025632,0.721729,2.1229157;0.028213527,0.85891485,2.0795755;-0.20313355,0.60502684,2.0716653;-0.30214003,0.42909926,2.036684;-0.14050119,0.33731058,1.9985801;-0.0641423,0.3526638,2.030889;0.040733714,0.63445973,2.25786;0.0685052,0.4173381,2.309219;0.20935154,0.3979603,2.168467;0.24261083,0.40458405,2.1321578;-0.1334308,0.1939167,2.1019435;-0.16497724,-0.16175342,2.0773468;-0.18542728,-0.39682984,2.0829158;-0.16584688,-0.40963238,2.1007147;-0.023968294,0.205288,2.184493;0.0024881726,-0.15168595,2.13993;-0.018934418,-0.3932056,2.151999;-0.052735977,-0.40544274,2.1796587;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
699;-0.08326532,0.28218865,2.138463;-0.08299851,0.35334513,2.1332169;-0.08315523,0.7235881,2.1215646;0.024465807,0.862031,2.0786147;-0.21402001,0.6082988,2.0750823;-0.3056519,0.43021062,2.041391;-0.14531437,0.340059,1.9987794;-0.067334436,0.3537722,2.0283787;0.044957478,0.63391966,2.253911;0.0857621,0.4332221,2.291121;0.20680265,0.3769954,2.1515496;0.2637388,0.37395388,2.0789824;-0.14300057,0.20805526,2.1024485;-0.16763984,-0.15527621,2.077468;-0.18433812,-0.36995003,2.0805256;-0.15431225,-0.41961443,2.0560973;-0.023249364,0.2144524,2.1778312;-0.0081958305,-0.13348696,2.1429129;-0.05730345,-0.36514688,2.1727676;-0.059605367,-0.41573992,2.1929111;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
733;-0.08661044,0.29073837,2.1355228;-0.08628497,0.36017153,2.1307101;-0.085579,0.72508365,2.1204553;0.020398313,0.86474305,2.0775218;-0.22733107,0.6108501,2.0806613;-0.31614426,0.42962915,2.0591846;-0.1571038,0.3467659,1.9999447;-0.071920566,0.3555164,2.0259686;0.05247768,0.63130623,2.2418656;0.10952234,0.44351944,2.2668526;0.21754277,0.35241765,2.1167696;0.28145075,0.34233093,2.0316386;-0.14983557,0.2163006,2.1022534;-0.1698732,-0.14935255,2.0768406;-0.18442945,-0.35726693,2.0786417;-0.15213664,-0.42003182,2.020122;-0.02316374,0.22138211,2.170488;-0.015589671,-0.12393657,2.1452947;-0.07372268,-0.3552524,2.1815603;-0.062131707,-0.4206198,2.1487083;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
762;-0.08922651,0.29615247,2.1327724;-0.08905968,0.36481205,2.128902;-0.08754617,0.72624177,2.1195362;0.01149263,0.8696034,2.0753775;-0.23745315,0.6127057,2.0864058;-0.32242048,0.4288195,2.0722413;-0.2098087,0.31690317,2.0024226;-0.15742157,0.2900787,1.9949082;0.060673445,0.62659454,2.2167282;0.1283784,0.45021194,2.2404742;0.22360945,0.34011665,2.0934792;0.289133,0.32320973,1.994898;-0.1546412,0.22135258,2.1019247;-0.17152004,-0.14473467,2.0760155;-0.18474777,-0.3495936,2.0767934;-0.15514134,-0.41746095,2.0001743;-0.02378007,0.22666192,2.160379;-0.020414215,-0.11834118,2.1467416;-0.08354248,-0.35129145,2.1868818;-0.07278628,-0.42347738,2.1352038;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
798;-0.09136347,0.29957724,2.1298208;-0.09125189,0.36785477,2.1270056;-0.0892175,0.7270594,2.1186893;-0.0032651657,0.8760012,2.0713894;-0.24557209,0.6139593,2.0929184;-0.32696065,0.42813298,2.0853717;-0.24333249,0.29905376,2.004763;-0.22767791,0.24236542,1.974991;0.064714335,0.62279516,2.1972857;0.13929017,0.4434273,2.215416;0.22271766,0.33565488,2.06193;0.28489336,0.31689084,1.9699848;-0.15789525,0.22446488,2.1016304;-0.17320159,-0.14106177,2.0751183;-0.18539006,-0.34449145,2.0750148;-0.15985036,-0.4139258,1.9880399;-0.024545358,0.22958647,2.1468537;-0.033444867,-0.13802616,2.146445;-0.08877139,-0.3532658,2.189105;-0.073696494,-0.42984253,2.1210158;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
832;-0.09331735,0.30155528,2.1263113;-0.09315266,0.3698416,2.12493;-0.09074191,0.72767746,2.11783;-0.020582268,0.88295704,2.0676672;-0.2534267,0.6147569,2.101907;-0.3305892,0.42822003,2.1006072;-0.2739952,0.28535736,2.0109847;-0.2737655,0.21801847,1.9716257;0.06626922,0.62071335,2.1835923;0.14254509,0.4388719,2.2028587;0.20926072,0.3359264,2.0403068;0.25964236,0.3293668,1.937379;-0.1603503,0.2264263,2.1013048;-0.17449981,-0.1385966,2.0744689;-0.18633261,-0.34140465,2.0737557;-0.16604052,-0.41036662,1.9818454;-0.025167191,0.23041509,2.1347156;-0.037959315,-0.14107284,2.1407886;-0.086312816,-0.3610104,2.1792345;-0.07131327,-0.43394145,2.1009974;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
862;-0.095313184,0.30249697,2.1219587;-0.094958514,0.37116253,2.1225135;-0.09201451,0.7281767,2.116997;-0.040785193,0.88937235,2.06389;-0.25926226,0.61518556,2.1103885;-0.33348018,0.42944703,2.11698;-0.29309335,0.2798891,2.0168679;-0.29880887,0.2087201,1.9719752;0.06618381,0.6193401,2.1716182;0.12860961,0.44861552,2.1848497;0.17804806,0.3497483,2.0231266;0.22251362,0.3527637,1.9131842;-0.16255221,0.22767338,2.1008065;-0.17629158,-0.13672052,2.073672;-0.18777156,-0.3400605,2.0726523;-0.17346202,-0.40643644,1.9798113;-0.026163166,0.2304488,2.1236255;-0.03608436,-0.17549722,2.1131234;-0.07080704,-0.3854048,2.1352322;-0.06509052,-0.36618066,2.1139984;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
900;-0.097104184,0.30220434,2.11686;-0.09650691,0.37169954,2.1197677;-0.09306518,0.7285928,2.1160264;-0.058832046,0.8938416,2.0604692;-0.26326752,0.61554056,2.11751;-0.33457214,0.4319518,2.1315207;-0.30761692,0.2784276,2.023302;-0.31788242,0.20834152,1.9776081;0.06449844,0.61954385,2.1591468;0.11710018,0.45308092,2.1735182;0.14969492,0.3684105,1.9851185;0.18303606,0.38085425,1.8905922;-0.16447744,0.228257,2.10002;-0.1822117,-0.14165436,2.0716534;-0.1906669,-0.34795243,2.0719225;-0.20850071,-0.4234718,2.0224602;-0.027109925,0.2292721,2.113996;-0.028465886,-0.19682437,2.0797012;-0.043894064,-0.40551993,2.0728977;-0.040492866,-0.40380043,2.024106;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
