Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
604;-0.4031749,0.24297917,2.669765;-0.40013173,0.30779397,2.732276;-0.37788284,0.6966934,2.750203;-0.36356115,0.88080543,2.760664;-0.54468244,0.5651163,2.7056866;-0.6253858,0.33971313,2.6762085;-0.64984655,0.28703302,2.4437275;-0.6439127,0.31038454,2.347641;-0.24679294,0.59263813,2.7181132;-0.20318894,0.30533347,2.6644342;-0.19905598,0.39292467,2.442081;-0.21602988,0.43494737,2.3845744;-0.47386748,0.17099644,2.6561546;-0.45249298,-0.39611727,2.678417;-0.38512585,-0.7853101,2.6231194;-0.35162726,-0.84998584,2.5883162;-0.33981723,0.18338127,2.6558857;-0.35602036,-0.43720952,2.5955536;-0.34041238,-0.7777962,2.6372373;-0.33952034,-0.84868,2.6114902;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
633;-0.40335777,0.24302036,2.6697032;-0.4007362,0.30769628,2.732247;-0.3817792,0.69554293,2.7506847;-0.3643533,0.8806815,2.7603145;-0.5447313,0.56511563,2.7057023;-0.62488794,0.34074745,2.67593;-0.6507174,0.28324366,2.4540212;-0.6359924,0.3382314,2.367556;-0.2466895,0.5895817,2.7184134;-0.19667938,0.3438087,2.683788;-0.21331467,0.3855372,2.4230695;-0.22268635,0.41075847,2.3960016;-0.4739985,0.17125861,2.6561403;-0.44738188,-0.3985667,2.6743114;-0.40856192,-0.73736924,2.644992;-0.36715192,-0.81908226,2.6043077;-0.33986884,0.18326968,2.6557598;-0.35630202,-0.43721128,2.59579;-0.30028868,-0.80940986,2.6386895;-0.34581473,-0.8497065,2.6094327;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
665;-0.4033866,0.24302582,2.6696947;-0.4008335,0.30767864,2.7322443;-0.38259208,0.6953173,2.7507887;-0.36448413,0.8806626,2.7602656;-0.5447533,0.5651061,2.7057183;-0.6248478,0.3409057,2.6760592;-0.65098375,0.28294897,2.4564347;-0.6326301,0.35433966,2.3791246;-0.24666117,0.5889781,2.7184696;-0.19525912,0.344826,2.6867132;-0.22571257,0.38055554,2.4087434;-0.22934769,0.38941818,2.401297;-0.47401962,0.17129795,2.6561394;-0.4461008,-0.40027943,2.6735313;-0.39251298,-0.77330345,2.639947;-0.35606,-0.841277,2.5920875;-0.33987623,0.18324523,2.655739;-0.35659567,-0.4375559,2.5961103;-0.31424192,-0.8082874,2.641691;-0.34593606,-0.85351235,2.6065352;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
701;-0.40342027,0.24301954,2.6696935;-0.40092662,0.30765122,2.73225;-0.38322577,0.6951405,2.7508802;-0.36464375,0.88065034,2.7602155;-0.5447901,0.5650728,2.7057486;-0.62504447,0.34088957,2.6770687;-0.64729685,0.3462625,2.4619606;-0.63580775,0.3925096,2.405478;-0.24655722,0.5881849,2.7185185;-0.19383359,0.3407733,2.6857014;-0.23310108,0.3782783,2.4017012;-0.24464647,0.38592485,2.3578525;-0.4740537,0.17131749,2.6561522;-0.4445657,-0.4020518,2.672649;-0.38462585,-0.7916651,2.6373057;-0.3495352,-0.8560659,2.5858397;-0.3398928,0.18317652,2.6557167;-0.35774022,-0.43853703,2.5973709;-0.32826632,-0.80299747,2.6450658;-0.34608993,-0.85546905,2.6047742;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
734;-0.40345657,0.24301228,2.6696973;-0.40100813,0.30763122,2.7322571;-0.3837236,0.6950278,2.7509115;-0.36486453,0.88064826,2.7601118;-0.54487973,0.56500596,2.7058115;-0.6349268,0.32490632,2.694151;-0.6455983,0.39069873,2.474443;-0.63916713,0.42313182,2.422944;-0.24643584,0.5874555,2.718554;-0.19318676,0.33561432,2.6820598;-0.24711841,0.38944554,2.40797;-0.25266093,0.3870358,2.3846886;-0.47411743,0.17132716,2.6561913;-0.44412446,-0.40423957,2.672987;-0.38131317,-0.8000515,2.6363313;-0.3486928,-0.8644382,2.583672;-0.33990976,0.18310378,2.6556954;-0.3592206,-0.43969434,2.5991247;-0.33589256,-0.7998972,2.6475878;-0.34627685,-0.8570703,2.6032035;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
765;-0.4035324,0.24302503,2.669711;-0.401104,0.307635,2.7322667;-0.38433358,0.69495964,2.7508216;-0.36564645,0.880694,2.7596877;-0.54533637,0.56481797,2.706029;-0.6432065,0.3119096,2.7117772;-0.65039814,0.421051,2.4957898;-0.64462644,0.46963692,2.4425294;-0.2463913,0.5868592,2.718452;-0.19198224,0.33460984,2.6788154;-0.25742972,0.40495092,2.4128706;-0.25783455,0.40164772,2.4071846;-0.4742599,0.17135163,2.656282;-0.44367215,-0.40575936,2.673327;-0.37962967,-0.80460566,2.635931;-0.34942162,-0.8707387,2.5830767;-0.33993196,0.18304473,2.6556726;-0.3619036,-0.4418369,2.602652;-0.3404509,-0.7980047,2.6497462;-0.34884977,-0.8592267,2.6024966;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
803;-0.40370405,0.24310787,2.6697466;-0.40126565,0.30771485,2.7322812;-0.38574016,0.6950282,2.7502909;-0.36744156,0.8810184,2.7587152;-0.54622614,0.56452453,2.7064178;-0.6480222,0.29886016,2.7647855;-0.656547,0.43887323,2.5201387;-0.64858407,0.50245374,2.4572246;-0.24648683,0.58657783,2.718193;-0.19063342,0.3340824,2.6749604;-0.25152114,0.4289051,2.4362104;-0.26459613,0.44973156,2.4390829;-0.47447896,0.17139438,2.6564207;-0.44336966,-0.40693623,2.6736956;-0.37856218,-0.80739653,2.635808;-0.35354185,-0.8756046,2.5828702;-0.33996004,0.1830199,2.6556544;-0.36456922,-0.4421217,2.6066277;-0.34350976,-0.7965879,2.6513243;-0.3564424,-0.861361,2.603059;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
834;-0.40422538,0.24356048,2.669869;-0.40171874,0.3081319,2.732328;-0.3884929,0.69535893,2.7492905;-0.36980987,0.88163376,2.7572641;-0.5473568,0.5641747,2.7068484;-0.6470857,0.33565,2.7106092;-0.6608621,0.49314886,2.5158417;-0.65227395,0.5296606,2.4735105;-0.24669431,0.58667415,2.7174022;-0.18857293,0.3342026,2.6693609;-0.24997544,0.4724093,2.4508114;-0.2788003,0.49436978,2.455475;-0.47501972,0.17160039,2.6568232;-0.44316038,-0.40785056,2.6741025;-0.3782962,-0.80859613,2.6357002;-0.36006668,-0.8769244,2.5850167;-0.34006926,0.18312348,2.6555898;-0.36716154,-0.44210246,2.6106339;-0.34534648,-0.79557365,2.6530595;-0.3651803,-0.8606309,2.6062014;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
869;-0.40483287,0.24409252,2.6700232;-0.40221024,0.30862436,2.7323804;-0.3908901,0.6957161,2.748297;-0.37209404,0.8822529,2.7557886;-0.54871964,0.56374323,2.7072923;-0.6479966,0.34685227,2.696675;-0.6633886,0.51653814,2.514862;-0.653655,0.5465135,2.483691;-0.24689624,0.587215,2.7162688;-0.18647309,0.33554685,2.6631799;-0.24892354,0.5104936,2.4645681;-0.28493834,0.5295422,2.468827;-0.47587866,0.17179465,2.6575801;-0.4429727,-0.40832743,2.6747758;-0.3785889,-0.8083566,2.635884;-0.3664478,-0.8757286,2.5881526;-0.3402118,0.18328272,2.6554918;-0.36926526,-0.44180024,2.6140912;-0.34660706,-0.7947704,2.654992;-0.37095326,-0.85898554,2.609291;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
901;-0.40546182,0.2444858,2.6701896;-0.40258035,0.30898836,2.7324286;-0.3930746,0.69610775,2.7473683;-0.3740721,0.88285935,2.754561;-0.55013114,0.5633238,2.7076914;-0.6469519,0.35614178,2.6819112;-0.6643482,0.5294131,2.5162985;-0.65108985,0.56397927,2.4973228;-0.24633913,0.5861155,2.7118757;-0.18489365,0.3370477,2.6578581;-0.24865252,0.53013325,2.473217;-0.2856251,0.5505551,2.4750667;-0.47700527,0.17187792,2.6585877;-0.44276553,-0.40879443,2.675701;-0.37930033,-0.8071929,2.636415;-0.37203634,-0.8735121,2.5919423;-0.34036094,0.18317187,2.6553133;-0.3712659,-0.44128498,2.6178138;-0.34667006,-0.7940984,2.6596951;-0.37506542,-0.8567388,2.6127477;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
