Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
605;-0.4443958,0.30062515,2.6892178;-0.45936662,0.35757342,2.7445788;-0.4862565,0.7026029,2.7545815;-0.47939932,0.87566864,2.7366028;-0.6278102,0.6257215,2.7107918;-0.7208284,0.7627745,2.5570512;-0.66258264,0.9301206,2.511439;-0.61485845,1.0046754,2.5183816;-0.28850707,0.6242544,2.7680001;-0.09446702,0.682334,2.6711557;-0.21756831,0.8788283,2.6613615;-0.25823316,0.93017143,2.665545;-0.5129099,0.22577454,2.6644793;-0.44322586,-0.2580604,2.5264876;-0.40392563,-0.7629253,2.308559;-0.39308038,-0.7885092,2.2458053;-0.36022353,0.22511433,2.6845708;-0.39091304,-0.24383979,2.4878912;-0.4063992,-0.7293827,2.325436;-0.39555395,-0.75496656,2.2626824;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
639;-0.4446602,0.31021747,2.6917465;-0.45932722,0.36473092,2.7461505;-0.4860454,0.70275795,2.7536469;-0.48002264,0.8764271,2.734397;-0.6278173,0.62571144,2.7097454;-0.7209059,0.76333976,2.555648;-0.63738716,0.95153177,2.520844;-0.5945716,1.0132781,2.522586;-0.28793892,0.6237194,2.7666497;-0.09447525,0.68242633,2.6705062;-0.21849127,0.87796164,2.661432;-0.2596918,0.9300608,2.6663265;-0.51371217,0.23487969,2.6666927;-0.4810897,-0.26906222,2.5785472;-0.41480613,-0.74999434,2.279435;-0.40264502,-0.7788985,2.2086806;-0.360073,0.23321171,2.6874032;-0.3957164,-0.2387062,2.4766893;-0.41374946,-0.7173468,2.2996325;-0.41518062,-0.762008,2.2364035;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
671;-0.44493365,0.31435663,2.6928902;-0.45939702,0.36754796,2.7467701;-0.48599455,0.70278114,2.7534552;-0.48054615,0.87655735,2.733621;-0.6277167,0.6253304,2.7094169;-0.72090936,0.76343465,2.555355;-0.629989,0.957338,2.523954;-0.58910996,1.0151677,2.5250132;-0.28789786,0.62370867,2.7663815;-0.09446986,0.682598,2.6702912;-0.2186598,0.87780297,2.66143;-0.2600661,0.9299462,2.6664336;-0.5139752,0.2382597,2.667748;-0.5185871,-0.273873,2.6203675;-0.42967618,-0.6461558,2.268609;-0.4158535,-0.6800214,2.1880035;-0.36121345,0.24109384,2.6899972;-0.40102822,-0.23344678,2.477206;-0.4267549,-0.69584185,2.2586522;-0.43874544,-0.7531327,2.1868012;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
703;-0.44543698,0.3180344,2.69414;-0.4596182,0.37028635,2.747499;-0.48592734,0.70278656,2.7532628;-0.48188365,0.8760314,2.7319732;-0.6276201,0.6249267,2.7091362;-0.7203689,0.7637733,2.554319;-0.61445594,0.9638693,2.529345;-0.5815141,1.0159798,2.5288846;-0.28794503,0.6237816,2.766126;-0.094673894,0.68331254,2.6698577;-0.21882968,0.8777629,2.6611984;-0.26031297,0.9297848,2.6660657;-0.5145892,0.24186958,2.6695697;-0.42684212,-0.2251811,2.490854;-0.44036448,-0.61844575,2.2407525;-0.44206747,-0.6756486,2.1497207;-0.3623931,0.24679396,2.6919675;-0.40506616,-0.22877274,2.476647;-0.43873328,-0.6711589,2.2169359;-0.45790592,-0.7336036,2.1369689;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
739;-0.44682896,0.32579938,2.6973922;-0.46029398,0.3759132,2.749527;-0.48581293,0.70274127,2.7530582;-0.48292613,0.87401646,2.7294235;-0.6274747,0.6244782,2.7089942;-0.71887875,0.76451564,2.5527155;-0.58286446,0.96831846,2.5238988;-0.54245347,1.0132475,2.5256286;-0.2887072,0.6245184,2.7658358;-0.0996634,0.7039372,2.6618285;-0.19170916,0.8853117,2.637334;-0.26018775,0.9632038,2.6344135;-0.51571655,0.25058782,2.6748297;-0.39682338,-0.1471824,2.5017729;-0.44115803,-0.52549684,2.2361012;-0.43594882,-0.57875234,2.138338;-0.36565906,0.2583005,2.695961;-0.41040143,-0.22690447,2.4697292;-0.4493317,-0.6489215,2.180114;-0.47306567,-0.70675254,2.0805311;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
771;-0.4491724,0.3338294,2.7010796;-0.46169,0.38222545,2.7520673;-0.4856945,0.70254797,2.75281;-0.48579004,0.87157047,2.7262206;-0.62733984,0.6242157,2.709268;-0.712897,0.7661342,2.5508006;-0.5469544,0.96865076,2.50065;-0.50198704,1.0074759,2.4900393;-0.29079884,0.62596434,2.7656949;-0.10562975,0.72114,2.6571789;-0.17883614,0.90206313,2.6040332;-0.23834707,0.98660356,2.5933957;-0.51846087,0.2626856,2.6842642;-0.32493317,-0.0627127,2.50366;-0.4112494,-0.4278863,2.2551951;-0.39864066,-0.47529885,2.1581051;-0.36922768,0.26737547,2.6985226;-0.41427493,-0.22508004,2.4532628;-0.46206233,-0.6279714,2.1420736;-0.46624026,-0.6754426,2.03916;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
803;-0.45217535,0.34216717,2.704956;-0.4638913,0.38958168,2.755149;-0.48558468,0.70233417,2.7525897;-0.48948428,0.8694765,2.7233717;-0.62770915,0.62427616,2.7100728;-0.70285887,0.76980686,2.5474925;-0.53121376,0.95936054,2.4656286;-0.48332945,0.99753624,2.4492042;-0.29578024,0.63011706,2.7665994;-0.11294559,0.7355509,2.6554387;-0.17123513,0.90919775,2.5887554;-0.22157963,0.9980809,2.5679965;-0.5210409,0.27121094,2.69081;-0.2963501,-0.024244577,2.512884;-0.39595142,-0.38701156,2.2670312;-0.38090822,-0.42683357,2.16931;-0.37289342,0.27551296,2.7006047;-0.41384518,-0.223212,2.4426453;-0.4675285,-0.6124611,2.126812;-0.47292626,-0.66204023,2.0217402;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
839;-0.4545989,0.3484001,2.7082121;-0.46608964,0.39536604,2.7579398;-0.48579976,0.7018085,2.7525566;-0.4930987,0.86760926,2.7211974;-0.6278128,0.62455267,2.7114813;-0.69374174,0.77214396,2.54462;-0.55682844,0.9237669,2.4324093;-0.4952394,0.97643805,2.4044352;-0.30274403,0.6371513,2.769757;-0.12445049,0.7557672,2.6563163;-0.16610286,0.9210667,2.5749588;-0.20610908,1.0151551,2.5434139;-0.5225731,0.27711478,2.6955173;-0.2953748,-0.020919368,2.5162778;-0.39396262,-0.37594086,2.2678332;-0.37762246,-0.41532332,2.1706223;-0.37666076,0.28335083,2.703081;-0.41643932,-0.21611542,2.427778;-0.47104785,-0.5996551,2.119381;-0.46408767,-0.6383732,2.0191014;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
871;-0.4563292,0.3516767,2.7104115;-0.46802324,0.39861372,2.7599308;-0.48643416,0.70083266,2.7527678;-0.49569422,0.8659026,2.7196634;-0.6279169,0.62490916,2.7131298;-0.68717575,0.7724584,2.542162;-0.5770625,0.9005387,2.411674;-0.5204083,0.9509257,2.3733206;-0.30776674,0.6424536,2.7750127;-0.12961403,0.76503545,2.6571736;-0.16318053,0.9270011,2.5678594;-0.20003565,1.0223439,2.5327842;-0.52366376,0.2801705,2.6984937;-0.29444438,-0.019274734,2.5175254;-0.39229727,-0.36942205,2.2667143;-0.37403515,-0.40854895,2.1702838;-0.3789813,0.28722277,2.7046328;-0.4164271,-0.21252848,2.4191968;-0.47288802,-0.59147084,2.1167102;-0.4578294,-0.6264613,2.020407;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
903;-0.45810091,0.35331342,2.712374;-0.46999264,0.40036386,2.7617002;-0.48714316,0.699484,2.7534943;-0.4971585,0.8647108,2.7187169;-0.6279494,0.6252229,2.7148657;-0.68374467,0.76672333,2.5364015;-0.592903,0.8854532,2.4023964;-0.53415394,0.9393016,2.3601167;-0.31084213,0.64505297,2.7800136;-0.13171278,0.7692905,2.6599443;-0.16123751,0.92968106,2.564121;-0.19701219,1.0250632,2.527266;-0.52482027,0.28179556,2.7009258;-0.2983703,-0.017843552,2.5144958;-0.39278215,-0.36733118,2.2643971;-0.3728571,-0.40636706,2.168966;-0.38165373,0.28880137,2.7060213;-0.4178043,-0.20812011,2.4076977;-0.46902063,-0.49950892,2.18017;-0.44755226,-0.5363788,2.0850396;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
