Time;SPINE_BASE;SPINE_MID;NECK;HEAD;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;SPINE_SHOULDER;HAND_TIP_LEFT;THUMB_LEFT;HAND_TIP_RIGHT;THUMB_RIGHT
17289;-0.25873947,0.23628096,2.0481863;-0.24866909,0.30363247,2.1058896;-0.27156916,0.6868772,2.1051927;-0.3093862,0.8848353,2.0431528;-0.45019186,0.5629689,2.135099;-0.62066436,0.41858143,2.0773816;-0.7832153,0.49141145,1.9340595;-0.79499716,0.5217965,1.8924719;-0.119482376,0.5846398,2.0594084;0.03258523,0.44502515,1.8246036;0.057345666,0.4978434,1.5982226;0.04646337,0.5224154,1.5792521;-0.33104336,0.1574489,2.043583;-0.32294348,-0.3297277,2.079737;-0.275722,-0.7194308,2.1033156;-0.32986382,-0.78839797,2.0508082;-0.1822241,0.16720079,2.029368;-0.1601841,-0.36562604,2.0511048;-0.12348248,-0.71978635,2.0922818;-0.12120962,-0.7923649,2.0520456;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17326;-0.25872186,0.23623875,2.0481958;-0.24874488,0.3035994,2.1058857;-0.2718678,0.686279,2.1046662;-0.30935198,0.8833746,2.0409043;-0.44990695,0.5627915,2.1348414;-0.60493124,0.40750584,2.0871353;-0.76148236,0.4898023,1.9454149;-0.77243,0.5252706,1.9054856;-0.11905602,0.5844609,2.059646;0.03220449,0.43650293,1.8360698;0.042259287,0.5091832,1.6172771;0.027162436,0.53467,1.6078043;-0.33100536,0.15737171,2.043521;-0.3229442,-0.3297212,2.0798094;-0.27566093,-0.7194916,2.103344;-0.3296575,-0.7882271,2.0508616;-0.18217057,0.16714083,2.0294464;-0.16023006,-0.36675936,2.0516415;-0.12420734,-0.7205859,2.0927186;-0.12123516,-0.79237586,2.0520623;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17360;-0.25872022,0.23623455,2.048193;-0.24876097,0.30359796,2.1058788;-0.27193743,0.6861673,2.1045234;-0.30940592,0.88295215,2.0401447;-0.44986415,0.56276375,2.1348;-0.59047675,0.38572997,2.0978482;-0.7204195,0.49907172,1.9601203;-0.72484624,0.52591807,1.931655;-0.11897578,0.58441764,2.0597;0.029234475,0.421243,1.8664479;0.012760906,0.52939135,1.6668248;-0.006007095,0.5549067,1.660419;-0.33100367,0.15736392,2.043499;-0.3229441,-0.32972035,2.0798206;-0.2756518,-0.71950155,2.1033485;-0.32962608,-0.788201,2.0508728;-0.18216245,0.16713178,2.0294578;-0.16023737,-0.36693993,2.0517256;-0.12431843,-0.7207058,2.0927877;-0.12128384,-0.7924265,2.0521832;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17396;-0.25873783,0.23623508,2.0481517;-0.24881946,0.30360657,2.1058114;-0.2721385,0.6859514,2.1040227;-0.30950853,0.8820298,2.0383725;-0.44983387,0.56273806,2.1347628;-0.56697077,0.36030206,2.1129704;-0.6753041,0.5023899,1.9802419;-0.6724797,0.52618146,1.9597547;-0.119266525,0.58297193,2.05999;0.028807411,0.40119374,1.9038843;-0.028647494,0.5459534,1.7372613;-0.04518599,0.5704015,1.7307913;-0.33102384,0.15739109,2.0434234;-0.32294393,-0.32971972,2.0798295;-0.2756486,-0.71950823,2.1033537;-0.3295886,-0.78816813,2.0508778;-0.18216892,0.16711728,2.029451;-0.16032948,-0.36490324,2.0510721;-0.12511644,-0.72099656,2.0929167;-0.121353395,-0.79249763,2.0523713;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17427;-0.25887486,0.23622695,2.0479803;-0.24902186,0.3036256,2.105561;-0.27238408,0.68542004,2.1023195;-0.3103339,0.8806617,2.036034;-0.4498153,0.56260645,2.1346462;-0.53303367,0.33432123,2.136914;-0.62013716,0.49821225,2.009602;-0.6211124,0.5212583,1.9903796;-0.12341503,0.57380766,2.060342;0.019829283,0.38302508,1.9563394;-0.06193555,0.5484416,1.8136877;-0.0813499,0.57813513,1.80469;-0.3311447,0.157551,2.043217;-0.32294387,-0.3297192,2.0798357;-0.275653,-0.7195093,2.1033616;-0.3295545,-0.7881362,2.050878;-0.18249764,0.16702442,2.0293317;-0.16040331,-0.3620385,2.049994;-0.12721285,-0.72168905,2.0932734;-0.12142344,-0.7925581,2.052527;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17459;-0.25929976,0.23598282,2.0474772;-0.24947509,0.30344927,2.1049008;-0.2726198,0.68456084,2.0994077;-0.31165913,0.87863994,2.0329823;-0.4498136,0.5623458,2.134431;-0.5182352,0.3238319,2.147083;-0.59380335,0.4956753,2.0242383;-0.5961118,0.5197279,2.0057902;-0.13053177,0.5625936,2.0602088;0.013211167,0.37162635,1.9961219;-0.090476215,0.54267067,1.8748652;-0.106828384,0.5762666,1.8667762;-0.33129674,0.15774299,2.042964;-0.32294402,-0.32971895,2.0798407;-0.27566317,-0.71950626,2.1033695;-0.32952377,-0.7881056,2.050877;-0.18371193,0.16644622,2.028823;-0.16042496,-0.36120528,2.0495057;-0.12845698,-0.7220311,2.093436;-0.1215343,-0.7926413,2.0527449;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17492;-0.25994003,0.23551045,2.0467167;-0.25012583,0.30308664,2.1039045;-0.27311227,0.6835279,2.0958097;-0.31290588,0.87672156,2.0301812;-0.44984528,0.56197083,2.1341305;-0.5103333,0.31807637,2.1526573;-0.5799788,0.4952358,2.0317018;-0.582607,0.5196185,2.0140712;-0.1361301,0.55426514,2.0596707;0.011221629,0.3676135,2.013126;-0.10525379,0.543347,1.910108;-0.11396114,0.5753125,1.8838716;-0.33146387,0.15794998,2.0426857;-0.32294786,-0.32971826,2.0798445;-0.27574217,-0.7194694,2.1033797;-0.3295,-0.7880784,2.0508795;-0.18533193,0.16552679,2.0280864;-0.16054331,-0.3598399,2.0485172;-0.13049638,-0.7228616,2.0937233;-0.12216087,-0.7929224,2.053281;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17536;-0.26058257,0.23504466,2.0459018;-0.2507905,0.30273846,2.1028209;-0.27368897,0.6826493,2.092461;-0.31408697,0.87494034,2.0276403;-0.44989082,0.561593,2.133827;-0.506168,0.31619766,2.1558766;-0.57202536,0.49547347,2.0368762;-0.5764812,0.52265525,2.0192673;-0.13946916,0.5494644,2.0593357;0.010623063,0.36689258,2.0222695;-0.10112073,0.5427731,1.9091996;-0.11302997,0.57688844,1.884126;-0.3316418,0.15823086,2.0423212;-0.32295728,-0.32971415,2.079843;-0.2758229,-0.71943223,2.103389;-0.32937303,-0.78802323,2.0508687;-0.18677297,0.16472165,2.027389;-0.16064303,-0.35875902,2.0476646;-0.13251863,-0.7235321,2.093982;-0.12267524,-0.79316014,2.0537555;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17565;-0.26115468,0.23469041,2.0451238;-0.25141305,0.302469,2.1017897;-0.27413777,0.68198997,2.0898814;-0.3150805,0.8733381,2.0254886;-0.4499428,0.56125826,2.1335413;-0.5331151,0.33858526,2.1429117;-0.60681105,0.51308835,2.0286677;-0.6053051,0.54736614,2.0083516;-0.14115237,0.54703164,2.0592642;0.013037299,0.39609534,1.9928182;-0.0734133,0.55257416,1.8458583;-0.09861863,0.59210145,1.847054;-0.33183497,0.15861374,2.041849;-0.32297134,-0.32970685,2.0798326;-0.27593547,-0.7193923,2.103391;-0.3292251,-0.78795093,2.0508444;-0.18790904,0.16415885,2.026811;-0.16077706,-0.35732928,2.0466192;-0.13333787,-0.72384167,2.094064;-0.12327006,-0.7934696,2.0545108;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
17604;-0.26161668,0.23456343,2.044479;-0.2519761,0.3023607,2.1009207;-0.2745004,0.6814988,2.088039;-0.315852,0.8720587,2.0238316;-0.45000038,0.56102854,2.133309;-0.57133996,0.3646791,2.1189682;-0.6606622,0.5234056,2.0092247;-0.66310734,0.56173515,1.9837517;-0.14060463,0.5479511,2.0596194;0.020937808,0.41407868,1.951893;-0.04416214,0.55158055,1.7935627;-0.07011685,0.59455854,1.782259;-0.3320303,0.15902361,2.0413508;-0.32298803,-0.3296962,2.0798128;-0.2759974,-0.7193646,2.1033845;-0.32909563,-0.7878867,2.050837;-0.18862803,0.16394532,2.0264418;-0.1608465,-0.35651955,2.0459745;-0.13429141,-0.724135,2.0941403;-0.1237916,-0.79377294,2.0552409;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0;0.0,0.0,0.0
